sample_index,source_dataset,source_url,source_pdf,source_id,source_category,pdf_file,pdf_sha256,source_text_sha256,extracted_chars,sampling_seed
39,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/INFORMATION-TECHNOLOGY/40018190.pdf,40018190,INFORMATION-TECHNOLOGY,pdfs/40018190.pdf,38502a3baf8c73da9a159e5734779035c4a59ac95019b4348d68d988c61c0f35,f924d38314689bfe4aa08907fa8a87077504691daa1926de65ac585b8a270259,3760,20260915
40,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/FITNESS/52684666.pdf,52684666,FITNESS,pdfs/52684666.pdf,cf536031750bc680a3023c2d43263b6ece88c3255f2e363df063c82e520865fb,bca553d892ad181d4eebd08abd32561832b1dca5f7aea5da388841314e626fee,7461,20260915
41,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DESIGNER/32954522.pdf,32954522,DESIGNER,pdfs/32954522.pdf,41d02eee01114e76a0ffdb7138bf853680c6dc746e71da23ef98d485fa29747e,13dd94582a515a58367bf8730379e8dd80ce381a914167cc2e6d0e0175b9e06b,3576,20260915
42,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/FITNESS/24444525.pdf,24444525,FITNESS,pdfs/24444525.pdf,82d13676a2599f7eeab0cf29b1efe1df07c74e4cd8733c8216c8d26c4afc9038,dc8b77d8e9d4cf09311b79f1bf2d0e49104cc77838317545ddac5f29b63fafc5,5107,20260915
43,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DESIGNER/32532982.pdf,32532982,DESIGNER,pdfs/32532982.pdf,40d98ad97b6132d41248c3210ce5a109dd3bd0a0625bf21279ef9fdc69b463af,92b5a0c7f5d84495e40e024c75cfe52edc2e3c8cbd7296664d4ccb25b1ccff66,5632,20260915
44,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/BANKING/98965485.pdf,98965485,BANKING,pdfs/98965485.pdf,a5fc772db19c8f51ca91e79ba3bcf9b43d2c4097927f67ebc06d2fd727a6c41b,136611a8c4d1414e4ac7cc3536df78b351ab7af45aa6289c3c8f1fe1a4acc708,5519,20260915
45,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/INFORMATION-TECHNOLOGY/26801767.pdf,26801767,INFORMATION-TECHNOLOGY,pdfs/26801767.pdf,424268e9ca82dfb29486d7509e4059614749aa4c1166457ab91ab0d969a4e208,a6cc5fd71796be0f6ae64b0090ad1cae7d717426c256c35cdd4c2c773d34e95a,10073,20260915
46,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/SALES/15973307.pdf,15973307,SALES,pdfs/15973307.pdf,2302530ea1df1e92d4d8e4925216420422938020415dd549e90a23369bc62d96,882a940a81d4e8a144aa0d8c0bdf1bd114a12c4d774b857377cfe364c5258516,2723,20260915
47,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/FITNESS/45656814.pdf,45656814,FITNESS,pdfs/45656814.pdf,7fbfafea59597259352382150ac01c0d3a4f66d3939fcb91fd41f8883b1404ea,557eb3e53b96e8131a128346d4216d0eb878bb94275a81e61afb64a0fd182b4a,4867,20260915
48,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/CONSULTANT/37818861.pdf,37818861,CONSULTANT,pdfs/37818861.pdf,92e8e9e66539d4fc74cb82cc0e297fc7a9fdfead830f0ff4807a81e699444c7a,49e4017809f89c8abedac31afca0c66f88ffae8aabe870e321aa65bb851561b6,3174,20260915
49,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/INFORMATION-TECHNOLOGY/12763627.pdf,12763627,INFORMATION-TECHNOLOGY,pdfs/12763627.pdf,ce0dc2429b5ac39866f0a4f87934b30c5d8bbae00294d76085c48e712de8261a,71ef371fe493b7123534a67a5eb43323ad3b4911f1503af3d948f9a7ff81888a,6419,20260915
50,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/APPAREL/13858219.pdf,13858219,APPAREL,pdfs/13858219.pdf,8eca41c23a405bb3b044a029e1711611356b1c2f936e69c55526233d3a7e430f,9633e3c772937a968590c589beebd41c9024d3b18f9cf5e1c6cdd4ae672cca07,2124,20260915
51,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/BANKING/79041971.pdf,79041971,BANKING,pdfs/79041971.pdf,78dfeb9d3d6879d3703717251c8d91aab7b97bc5f5e161857b10242ba6cf8aa6,8be5146a6388d4338f0144de764013187844ab6bce004498f20e05735c7dc2de,1710,20260915
52,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/CONSULTANT/30083884.pdf,30083884,CONSULTANT,pdfs/30083884.pdf,aec3a398153a75861692e24fe3e7920d5c8fc7cd41dde435d6da09283cd3c157,c0426b62c61df6c31209d6572ce1b262f0347ea3688c720c7f5c8e9ac1861b82,4767,20260915
53,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/CONSULTANT/26919036.pdf,26919036,CONSULTANT,pdfs/26919036.pdf,9b0be094ae38cbfd1cc89ca437f4ef2424aaa1036439298f83c50b6709aff352,a6b5a526b41c86a95f0c738045c28f03c32b2452f81ffc42e2831fd2aff5eea2,5596,20260915
54,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/APPAREL/35121930.pdf,35121930,APPAREL,pdfs/35121930.pdf,aa59a79fb0c3f89d49909047d4695f4c68a22f189d2d119f52f297a6183589f7,fee751493e56898a88d0eac871512eb80fd1260455d9962e15d96a409406e16b,5662,20260915
55,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/CONSTRUCTION/29574501.pdf,29574501,CONSTRUCTION,pdfs/29574501.pdf,e5e8ed93f45de838d199545b7b32515730c9260e0db56d5da9cde3fb9b30d1ec,759796b7b0134666084bbe438891fff315729c8ae3b7daa0c842116d7122fca7,5175,20260915
56,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ARTS/12413512.pdf,12413512,ARTS,pdfs/12413512.pdf,a236a3092f7c0415bc8aad90bd968a3e182a3d1e592b327fee531b34e7a23d3f,c4acd4680672c17d19996742eff0123807f941d3c025b28d869545a94c173bf9,7053,20260915
57,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/BUSINESS-DEVELOPMENT/17597372.pdf,17597372,BUSINESS-DEVELOPMENT,pdfs/17597372.pdf,7e32e80553b14ba0b218abf9cfdacd32180960250b665e33a4fab80692242455,879fd8012121b7519059329c7a27b6a32a72a8ac9206d35f9eebbb61a3cd3e25,2846,20260915
58,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/AGRICULTURE/28165687.pdf,28165687,AGRICULTURE,pdfs/28165687.pdf,4a5b4c57beedb576b7bc5edb4c2f0d61227509af965fc4d1a1f593e4f1c65226,e86c05a9e96f9f2e794917ccb04075ad891c95f0b02df09ef275a2749b3dd4b6,6463,20260915
59,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/APPAREL/27694040.pdf,27694040,APPAREL,pdfs/27694040.pdf,b066ae032ea89308553e46110ded7edff58cd2de896e40ae2598455c3fb8a9f9,6b0abc15f8cb9427b76efbd084226f4c9c44a5a428a2ba1b31bf654e596bbc09,2201,20260915
60,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ENGINEERING/50328713.pdf,50328713,ENGINEERING,pdfs/50328713.pdf,dbce579e4cbd9cf4035f28f3d7d93938f5a269622dfc20289b09e8d9f3c09208,5c1f9db4bb1e5face5568644376f74f9571949d8bd8b062d2fac657f78880c4e,9499,20260915
61,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DIGITAL-MEDIA/21125113.pdf,21125113,DIGITAL-MEDIA,pdfs/21125113.pdf,80e9864141187987739f70dab1a94382968e541012444157a7ca15cb74af9a1d,c1ba1665b78e7b8d910e69301bcad3e2b3473d21d0ec7a5de64d995be77c1c21,7110,20260915
62,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/CHEF/12717345.pdf,12717345,CHEF,pdfs/12717345.pdf,97b7b1d9820eece863ea6fdaa16a10ef63c5efb9f742d783e3b648250b67963f,2f231380f5fc8f46002f6d0ffedd2e82101ca5cf23415a65146e4b6afda1bec3,5155,20260915
63,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HEALTHCARE/26125407.pdf,26125407,HEALTHCARE,pdfs/26125407.pdf,14d6ad6d723606e5dad3a499a5328d374795b2ff13c3d70fefafc55de039a935,7929c17d97db4bd83c4e9f197ceec13331611afdbfdd377d0091bcf7ab299c00,9255,20260915
64,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/FITNESS/21178545.pdf,21178545,FITNESS,pdfs/21178545.pdf,9c3b12cb2d3e1e136a5417f6b38ae9836de584bcd6f28cdd9af8afddfcb281af,187506d92158ca33a6f4d5f9814b79e3a3d99b904df972d610efd1c82ff95c56,6020,20260915
65,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/BUSINESS-DEVELOPMENT/34797369.pdf,34797369,BUSINESS-DEVELOPMENT,pdfs/34797369.pdf,91aae53c5425f66e1b4ff71c6524d635bc9079b5156f8f86e4c8ba93942bad61,141c36f2b740cca9ad099918d4c30da6c9eeb1b997c7aa72929622057fa77ab4,6913,20260915
66,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/DESIGNER/11155153.pdf,11155153,DESIGNER,pdfs/11155153.pdf,e15be600682ffcbda2e0c51f32eb29f18cd55058a4ef18fe4a527d58b4411bcc,f835050d6ff940bfea58a46b5103452ba5492576ae281e7c756cae9d26677405,17629,20260915
67,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HR/26048718.pdf,26048718,HR,pdfs/26048718.pdf,da9bf5b6dff853a8cb503fa67714b528258bee4871dfd9cef091d0f846b5030b,42002e55e9f52b4189e9dcca1bd8eb1402cd439d6b6c7e71f80f63ab3449dd35,14168,20260915
68,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/SALES/37360517.pdf,37360517,SALES,pdfs/37360517.pdf,5c391ed41185e766a6230e0ae30eff613950d4a8c70a60aa5fe912e1747a4a98,14e7b25bd568df20ae0cd69e853625cbd91295a4b1935f2a23625ebebe7e6185,5126,20260915
69,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HEALTHCARE/17545780.pdf,17545780,HEALTHCARE,pdfs/17545780.pdf,6a3d314a27b201e1676a4d78915bb25efced4f9e160a5cdab5100c6bcb8d0ebd,0c7143907915eb404a3978ac75f5c9f18050c1a5a5b141e16d1f458d910bb7e8,5826,20260915
70,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/BUSINESS-DEVELOPMENT/14990354.pdf,14990354,BUSINESS-DEVELOPMENT,pdfs/14990354.pdf,e7b1e4e1ff8759128b8e9e8381be4785298faf26549aae306b8da08c6ff70cc7,aacd5d2fe50caa3c8f1f196b0aeb5393ae8d52c6faa30c8150991b6ede967011,5617,20260915
71,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/ADVOCATE/91051945.pdf,91051945,ADVOCATE,pdfs/91051945.pdf,050703ba9e25f2b46efb4a2b7f1ba252865075fd36d54500bdfeee85c12757c1,4b7ac7549e02a6a19919ece7e71fd4f6b2a8bf1006f9e32606c98a5a898fd3c5,14813,20260915
72,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HEALTHCARE/10568183.pdf,10568183,HEALTHCARE,pdfs/10568183.pdf,0049c5ec5f78d900429c93a2f81b3e7c95e2b14aa292d0cee0336b5457b30b37,196be4e5807bef62e4439a4d8d8c9942c97e515d628505f1697f784bf4a35025,8417,20260915
73,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HEALTHCARE/10466208.pdf,10466208,HEALTHCARE,pdfs/10466208.pdf,6d0cb7823a28d5da7d2470e597daf9cf8e42b829b147c765f5dccfc5aca1605d,c6b48c22ad0fabf06513fd61e8333fece938679bcc0746060cbc575184027404,8394,20260915
74,snehaanbhawal/resume-dataset,https://www.kaggle.com/datasets/snehaanbhawal/resume-dataset,data/data/HR/18334783.pdf,18334783,HR,pdfs/18334783.pdf,c9f06e4d2768f8aaf08f613452fee3bd6cafa615e188ead8670c24295aa47de9,cfb6b3f1cfac5b69e0db501a2519e359aef3434dacc8227f85f4504ee25e2747,5205,20260915
