pair_id,jd_id,job_title,job_url,job_text_sha256,fit_group,baseline_fit_score,baseline_decision,source_id,source_category,archive_entry,clean_pdf,clean_pdf_sha256,clean_extracted_text,baseline_result,source_pages,lexical_rank
jd_03_r01,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_fit,78,pass,17812897,HR,data/data/HR/17812897.pdf,clean_pdfs/jd_03/jd_03_r01_17812897.pdf,b73a8b9d5cde7a1928805b13858e1f8cd413d4c9a0ca11d06104161f445c9064,candidate_text/17812897.txt,candidate_screening/jd_03_17812897.json,2,1
jd_03_r02,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_fit,78,pass,17855844,HR,data/data/HR/17855844.pdf,clean_pdfs/jd_03/jd_03_r02_17855844.pdf,1489baf171357668cf937d05c899f86c9a24504de21f116f35e96bec86445a49,candidate_text/17855844.txt,candidate_screening/jd_03_17855844.json,2,5
jd_03_r03,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_fit,75,pass,30563572,HR,data/data/HR/30563572.pdf,clean_pdfs/jd_03/jd_03_r03_30563572.pdf,cfef10d8fffc4cfad603ce72c2232a8acb42b7792abccd40c8fa33b7ee545930,candidate_text/30563572.txt,candidate_screening/jd_03_30563572.json,2,2
jd_03_r04,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_fit,75,pass,93112113,HR,data/data/HR/93112113.pdf,clean_pdfs/jd_03/jd_03_r04_93112113.pdf,38c455b1f58218332f075a2ae5ad1cfaec372de18952b69dbca555b5b30068a9,candidate_text/93112113.txt,candidate_screening/jd_03_93112113.json,2,4
jd_03_r05,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_fit,75,pass,21265194,HR,data/data/HR/21265194.pdf,clean_pdfs/jd_03/jd_03_r05_21265194.pdf,421b3e8caa36dd2fad167f307a0bdd088624b4f695a35609138288c3f0c871a1,candidate_text/21265194.txt,candidate_screening/jd_03_21265194.json,3,7
jd_03_r06,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_nonfit,65,fail,19179079,HR,data/data/HR/19179079.pdf,clean_pdfs/jd_03/jd_03_r06_19179079.pdf,bd02cc351dcb0571ec60edc0f6068d802d289626e51ddb336ee60b83cb9d0ca4,candidate_text/19179079.txt,candidate_screening/jd_03_19179079.json,3,3
jd_03_r07,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_nonfit,65,fail,11480899,HR,data/data/HR/11480899.pdf,clean_pdfs/jd_03/jd_03_r07_11480899.pdf,8a5c69551757bf1beef72dacb94c94a5993ff8b4f2d54fddf4113a7735ced385,candidate_text/11480899.txt,candidate_screening/jd_03_11480899.json,2,6
jd_03_r08,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_nonfit,65,fail,34740556,HR,data/data/HR/34740556.pdf,clean_pdfs/jd_03/jd_03_r08_34740556.pdf,7336dd0eaa96e466ab906808660a62a5f9336439c32c2b1525bcabbf6cdfa2f7,candidate_text/34740556.txt,candidate_screening/jd_03_34740556.json,2,10
jd_03_r09,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_nonfit,65,fail,44476983,HR,data/data/HR/44476983.pdf,clean_pdfs/jd_03/jd_03_r09_44476983.pdf,3720fc5dea61f96ff62daf94e23151eafd787feff81c05524add686c31bb2d10,candidate_text/44476983.txt,candidate_screening/jd_03_44476983.json,2,11
jd_03_r10,jd_03,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,likely_nonfit,55,fail,18316239,HR,data/data/HR/18316239.pdf,clean_pdfs/jd_03/jd_03_r10_18316239.pdf,d734d40982fabb2494252681121e9284c4dbadfcaa4ab3e42e57d2538146d58e,candidate_text/18316239.txt,candidate_screening/jd_03_18316239.json,2,12
jd_04_r01,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_fit,85,pass,95792386,CONSULTANT,data/data/CONSULTANT/95792386.pdf,clean_pdfs/jd_04/jd_04_r01_95792386.pdf,39fd458ace487c95a33298363e534e44482628aebc20e2e79423b79b9f7b887e,candidate_text/95792386.txt,candidate_screening/jd_04_95792386.json,2,2
jd_04_r02,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_fit,85,pass,17306905,ACCOUNTANT,data/data/ACCOUNTANT/17306905.pdf,clean_pdfs/jd_04/jd_04_r02_17306905.pdf,2c2e5c85cdb6589462eb6894eebf25e831aac36732479098780abe2f720ab050,candidate_text/17306905.txt,candidate_screening/jd_04_17306905.json,4,11
jd_04_r03,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_fit,85,pass,23438112,ACCOUNTANT,data/data/ACCOUNTANT/23438112.pdf,clean_pdfs/jd_04/jd_04_r03_23438112.pdf,5ad3432772a199698ddbb5065d8f3d4a764b15221546c82027bcff4bd8938d68,candidate_text/23438112.txt,candidate_screening/jd_04_23438112.json,2,12
jd_04_r04,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_fit,85,pass,31710562,BANKING,data/data/BANKING/31710562.pdf,clean_pdfs/jd_04/jd_04_r04_31710562.pdf,d34f8cf92df70569d14a5f5800d97d12f9c193199909fb453e49fdf1174cffe8,candidate_text/31710562.txt,candidate_screening/jd_04_31710562.json,2,50
jd_04_r05,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_fit,85,pass,24397882,AGRICULTURE,data/data/AGRICULTURE/24397882.pdf,clean_pdfs/jd_04/jd_04_r05_24397882.pdf,5b2fcd76785a04726f606e01f43760673823102b17bdf8c13ad0ade530007246,candidate_text/24397882.txt,candidate_screening/jd_04_24397882.json,2,69
jd_04_r06,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_nonfit,65,fail,38946032,CONSTRUCTION,data/data/CONSTRUCTION/38946032.pdf,clean_pdfs/jd_04/jd_04_r06_38946032.pdf,c60b92462843e901afa4d7f75492dc8dc9b387a0bc0a879fcdf9222cc90a785b,candidate_text/38946032.txt,candidate_screening/jd_04_38946032.json,2,20
jd_04_r07,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_nonfit,65,fail,19234823,ADVOCATE,data/data/ADVOCATE/19234823.pdf,clean_pdfs/jd_04/jd_04_r07_19234823.pdf,cc164c2809d04b1e7bba8d72a45695ba9c90d0b224c98a545e0a684b7cae59db,candidate_text/19234823.txt,candidate_screening/jd_04_19234823.json,2,77
jd_04_r08,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_nonfit,45,fail,68781345,BANKING,data/data/BANKING/68781345.pdf,clean_pdfs/jd_04/jd_04_r08_68781345.pdf,4e64f49320bf43e3348d3d4f2d897561cf08818533b668cf809b591fc434510c,candidate_text/68781345.txt,candidate_screening/jd_04_68781345.json,2,73
jd_04_r09,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_nonfit,45,fail,21867728,ARTS,data/data/ARTS/21867728.pdf,clean_pdfs/jd_04/jd_04_r09_21867728.pdf,96f8aa941a4a5f9d0aefd645b907a842e564e268aae8e824a5e59d35e521979e,candidate_text/21867728.txt,candidate_screening/jd_04_21867728.json,2,76
jd_04_r10,jd_04,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,likely_nonfit,45,fail,27884470,BANKING,data/data/BANKING/27884470.pdf,clean_pdfs/jd_04/jd_04_r10_27884470.pdf,d00e1ee1423eedd6f77493666116bd6850b6e70b4cfbe4c26e262bd222899cc9,candidate_text/27884470.txt,candidate_screening/jd_04_27884470.json,2,79
jd_05_r01,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_fit,85,pass,19179079,HR,data/data/HR/19179079.pdf,clean_pdfs/jd_05/jd_05_r01_19179079.pdf,bd02cc351dcb0571ec60edc0f6068d802d289626e51ddb336ee60b83cb9d0ca4,candidate_text/19179079.txt,candidate_screening/jd_05_19179079.json,3,1
jd_05_r02,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_fit,85,pass,13520837,HR,data/data/HR/13520837.pdf,clean_pdfs/jd_05/jd_05_r02_13520837.pdf,03b2a17fe45316403508c5e11a86e19f58c2d84577e1b421dc440de44a814bf2,candidate_text/13520837.txt,candidate_screening/jd_05_13520837.json,2,3
jd_05_r03,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_fit,75,pass,18297650,HR,data/data/HR/18297650.pdf,clean_pdfs/jd_05/jd_05_r03_18297650.pdf,20f95566d86a8dfc621b15304c016e5e369243b71bf803abcc351e0f93a51df3,candidate_text/18297650.txt,candidate_screening/jd_05_18297650.json,2,4
jd_05_r04,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_fit,75,pass,24508725,HR,data/data/HR/24508725.pdf,clean_pdfs/jd_05/jd_05_r04_24508725.pdf,37b044f3ab06f5d37bf7d1d6b0284ae99bae2aeb28171bf93b6189b0cf27517b,candidate_text/24508725.txt,candidate_screening/jd_05_24508725.json,3,5
jd_05_r05,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_fit,75,pass,27490876,HR,data/data/HR/27490876.pdf,clean_pdfs/jd_05/jd_05_r05_27490876.pdf,b57a00ff0ea911155ce6432b6fc82c8636a1a15e2ada153a7059df9596f32322,candidate_text/27490876.txt,candidate_screening/jd_05_27490876.json,2,6
jd_05_r06,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_nonfit,65,fail,17412079,HR,data/data/HR/17412079.pdf,clean_pdfs/jd_05/jd_05_r06_17412079.pdf,c0c3790f77711b7889e9b6506811b584dc3c93a5659778bdc41848df08dc07f1,candidate_text/17412079.txt,candidate_screening/jd_05_17412079.json,2,18
jd_05_r07,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_nonfit,65,fail,13879043,HR,data/data/HR/13879043.pdf,clean_pdfs/jd_05/jd_05_r07_13879043.pdf,3222f7277d613060314ed0324b52a9331b3d4ecdf741c7be4e6d12bfc5518e16,candidate_text/13879043.txt,candidate_screening/jd_05_13879043.json,2,21
jd_05_r08,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_nonfit,65,fail,28828844,HR,data/data/HR/28828844.pdf,clean_pdfs/jd_05/jd_05_r08_28828844.pdf,46cfaff1d59e8d568627ba77fe64fb54ade41c11edfd107105c1901ff86bcd50,candidate_text/28828844.txt,candidate_screening/jd_05_28828844.json,2,22
jd_05_r09,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_nonfit,65,fail,14640322,HR,data/data/HR/14640322.pdf,clean_pdfs/jd_05/jd_05_r09_14640322.pdf,567f3a26218bbc08412f0e42033ed4e09886ca6972c325045d3301b9d141e0bf,candidate_text/14640322.txt,candidate_screening/jd_05_14640322.json,2,31
jd_05_r10,jd_05,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,likely_nonfit,65,fail,23408537,HR,data/data/HR/23408537.pdf,clean_pdfs/jd_05/jd_05_r10_23408537.pdf,0144b159b5921555cbdf8640cda72fc3df1d92cb4a730e70161cdaf340063c1b,candidate_text/23408537.txt,candidate_screening/jd_05_23408537.json,2,33
jd_06_r01,jd_06,Sales Development Representative,https://stripe.com/jobs/search?gh_jid=6570253,4ce3b5c0999991e23ff6252b6be1218844d7595d2a7052c2193d11bc7cadf8b1,likely_fit,85,pass,17115815,BUSINESS-DEVELOPMENT,data/data/BUSINESS-DEVELOPMENT/17115815.pdf,clean_pdfs/jd_06/jd_06_r01_17115815.pdf,5fcd543b2d81c17b14e4ef985365bf84c021b8e627e3046ddccfa91f09eda15b,candidate_text/17115815.txt,candidate_screening/jd_06_17115815.json,2,1
jd_06_r02,jd_06,Sales Development Representative,https://stripe.com/jobs/search?gh_jid=6570253,4ce3b5c0999991e23ff6252b6be1218844d7595d2a7052c2193d11bc7cadf8b1,likely_fit,85,pass,10501991,BUSINESS-DEVELOPMENT,data/data/BUSINESS-DEVELOPMENT/10501991.pdf,clean_pdfs/jd_06/jd_06_r02_10501991.pdf,de8fa34d4816015e897dbb9e8ae526a87d638a71c806ee1c2351eabfdc136ee4,candidate_text/10501991.txt,candidate_screening/jd_06_10501991.json,3,6
jd_06_r03,jd_06,Sales Development Representative,https://stripe.com/jobs/search?gh_jid=6570253,4ce3b5c0999991e23ff6252b6be1218844d7595d2a7052c2193d11bc7cadf8b1,likely_fit,75,pass,27850777,BUSINESS-DEVELOPMENT,data/data/BUSINESS-DEVELOPMENT/27850777.pdf,clean_pdfs/jd_06/jd_06_r03_27850777.pdf,aff9bfb18e8eb1c875fb12bc1ee5369c88f5bc04307e018366da95efd2163284,candidate_text/27850777.txt,candidate_screening/jd_06_27850777.json,2,3
jd_06_r04,jd_06,Sales Development Representative,https://stripe.com/jobs/search?gh_jid=6570253,4ce3b5c0999991e23ff6252b6be1218844d7595d2a7052c2193d11bc7cadf8b1,likely_fit,75,pass,15423153,BUSINESS-DEVELOPMENT,data/data/BUSINESS-DEVELOPMENT/15423153.pdf,clean_pdfs/jd_06/jd_06_r04_15423153.pdf,96ab78463f5fa66bbbebd42b5d90e9599a8898c344ab3435b01f95f1a7e946f1,candidate_text/15423153.txt,candidate_screening/jd_06_15423153.json,2,4
