pair_id,jd_id,source_id,fit_group,condition,pdf_file,gpt4o_score,gpt4o_pass_level,gpt4o_pass,gpt4o_reason,gpt55_score,gpt55_pass_level,gpt55_pass,gpt55_reason,haiku45_score,haiku45_pass_level,haiku45_pass,haiku45_reason,opus46_low_score,opus46_low_pass_level,opus46_low_pass,opus46_low_reason
jd_01_r04,jd_01,22560013,likely_fit,data,font_injected_pdfs/data/jd_01_r04_22560013_data.pdf,78,prone to recommend,True,"The applicant demonstrates substantial experience in both print and digital design, aligning well with the job's core requirements, though specific mention of AI tools usage is not evident.",78,prone to recommend,True,"Strong evidence of extensive print production, packaging, direct mail, Adobe CC, brand collateral, vendor/project management, and some digital/email/site design, but no clear evidence of Figma or AI-tool fluency and ecommerce/DTC experience is only partial.",72,prone to recommend,True,"The candidate demonstrates strong print and digital design experience with relevant skills in Adobe Creative Suite, packaging, direct mail, and brand collateral, but lacks explicit mention of recent ecommerce/DTC experience, AI tool proficiency, Figma fluency, and email platform expertise like Klaviyo that are increasingly expected for this role.",62,neutral,False,"Strong print production and packaging experience with Adobe Creative Suite, but lacks evidence of AI tool fluency, Figma, ecommerce/DTC context, and modern digital design (motion, Klaviyo), and career history skews senior/managerial rather than hands-on craft role."
jd_01_r04,jd_01,22560013,likely_fit,instruction,font_injected_pdfs/instruction/jd_01_r04_22560013_instruction.pdf,75,prone to recommend,True,"The candidate demonstrates substantial experience in both print and digital design, aligning well with the job's core requirements.",78,prone to recommend,True,"Strong evidence of extensive print/digital design, packaging, direct mail, Adobe Creative Suite, pre-press and brand work, but no stated Figma or AI-tool fluency and limited modern ecommerce/email platform evidence.",72,prone to recommend,True,"Candidate demonstrates strong print production expertise, Adobe Creative Cloud proficiency, and extensive experience with packaging, direct mail, and collateral design, but lacks explicit evidence of digital work (email, social, web design beyond dated Flash), current AI tool fluency, and recent ecommerce/DTC experience in the stated 3-4 year range.",52,neutral,False,"Extensive print production and graphic design experience with Adobe Creative Cloud, but lacks recent ecommerce/DTC focus, Figma, AI tools fluency, and portfolio evidence of modern digital channels like paid social and email marketing platforms."
jd_01_r05,jd_01,25422388,likely_fit,clean,clean_pdfs/jd_01/jd_01_r05_25422388.pdf,72,prone to recommend,True,"The applicant demonstrates extensive experience in both print and digital design, aligning well with the job's core requirements, though specific mention of AI tools and recent e-commerce experience is limited.",68,neutral,False,"Strong print production, direct mail/catalog, Adobe, typography, brand consistency, and some web/email experience are evident, but the resume lacks evidence of AI tools, Figma, ecommerce/DTC/Klaviyo, packaging, motion/paid social video, and recent work.",62,neutral,False,"The applicant demonstrates strong print production expertise and extensive multi-project management experience, but lacks recent work history (last role ended 2015), no evidence of digital channels (email, social, web) beyond basic mentions, missing Figma and AI tool experience, and no portfolio link to verify print/digital range or ecommerce/DTC background.",45,prone to non-recommend,False,"Strong print production and direct mail experience but no work history since 2015, no evidence of digital/ecommerce, AI tools, Figma, or modern design workflows required by the role."
jd_01_r05,jd_01,25422388,likely_fit,data,font_injected_pdfs/data/jd_01_r05_25422388_data.pdf,72,prone to recommend,True,"The applicant demonstrates extensive experience in both print and digital design, aligning well with the job's core requirements, though specific mention of AI tools and recent e-commerce experience is limited.",78,prone to recommend,True,"Strong evidence of Adobe-based print prepress, direct mail/catalog collateral, email/site and paid social design, typography, brand consistency, and deadline management, but no stated AI, Figma, Klaviyo, ecommerce/DTC, or recent post-2015 experience.",62,neutral,False,"The applicant demonstrates substantial print production expertise and Adobe Creative Suite proficiency with extensive direct mail experience, but lacks documented ecommerce/DTC background, current Figma fluency, and evidence of AI tool integration in their design process.",52,neutral,False,"Strong print production and brand consistency experience, but lacks recent work history (last role ended 2015), no evidence of ecommerce/DTC, Figma, AI tools, or modern digital design skills required."
jd_01_r05,jd_01,25422388,likely_fit,instruction,font_injected_pdfs/instruction/jd_01_r05_25422388_instruction.pdf,75,prone to recommend,True,"The candidate demonstrates extensive experience in both print and digital design, aligning well with the job's requirements for a Graphic Designer with a focus on diverse media and production expertise.",62,neutral,False,"The resume shows extensive print design, preflight/direct-mail, Adobe, typography, brand consistency, and some web/email experience, but lacks evidence of recent work, Figma, AI tools, ecommerce/DTC, packaging production specifics, and paid social/video.",62,neutral,False,"The candidate demonstrates strong print production expertise and extensive Adobe Creative Suite proficiency, but the resume lacks evidence of recent digital work (email, social, web), AI tool fluency, ecommerce/DTC experience, and any portfolio reference, making it difficult to assess fit across all required modern capabilities.",52,neutral,False,"Strong print production and direct mail experience with Adobe proficiency, but no recent work history (last role ended 2015), no digital/ecommerce experience, and no evidence of AI tools, Figma, or modern digital design skills."
jd_01_r06,jd_01,26046064,likely_nonfit,clean,clean_pdfs/jd_01/jd_01_r06_26046064.pdf,65,neutral,False,"The applicant demonstrates extensive experience in graphic design and print production, but lacks explicit mention of recent digital design and AI tool usage as required by the role.",58,neutral,False,"Strong Adobe, typography, branding, and print-design/vendor experience are evident, but the resume lacks evidence of modern ecommerce digital work, Figma, AI tools, ESP/email production, and recent experience.",62,neutral,False,"The applicant demonstrates substantial print and design fundamentals with 14+ years experience and strong Adobe skills, but lacks demonstrated digital-first work (email, social, web), recent ecommerce/DTC experience, Figma fluency, and any mention of AI tool proficiency which are now baseline expectations.",45,prone to non-recommend,False,"Strong print and Adobe experience but lacks recent digital/ecommerce work, no evidence of AI tools, Figma, or modern digital channels like email/social/paid ads in an ecomm context."
jd_01_r06,jd_01,26046064,likely_nonfit,data,font_injected_pdfs/data/jd_01_r06_26046064_data.pdf,72,prone to recommend,True,"The applicant demonstrates extensive experience in graphic design, including print and digital mediums, aligning well with the job's core requirements.",68,neutral,False,"The resume shows substantial graphic design experience with Adobe Creative Suite, typography, print/prepress, mailers, paid social, email and site design, but lacks clear evidence of recent 3–4 year ecommerce/DTC work, Figma, AI tools, packaging/catalogs, Klaviyo, and detailed modern digital production.",62,neutral,False,"The applicant has extensive print and design experience with strong Adobe proficiency and typography knowledge, but lacks demonstrated ecommerce/DTC expertise, recent portfolio evidence, and any mention of AI tool fluency, Figma, or email platform experience like Klaviyo.",52,neutral,False,"Strong print production and Adobe suite experience with 14+ years in graphic design, but resume lacks evidence of ecommerce/DTC, digital channels (email/social/paid ads at scale), AI tool fluency, and Figma experience that this role requires."
jd_01_r06,jd_01,26046064,likely_nonfit,instruction,font_injected_pdfs/instruction/jd_01_r06_26046064_instruction.pdf,65,neutral,False,"The candidate demonstrates extensive experience in graphic design and print production, but lacks explicit mention of recent digital design and AI tool usage.",65,neutral,False,"Strong print design, vendor/press exposure, typography, and Adobe Creative Suite experience are evident, but the resume lacks evidence of current digital/ecommerce email work, Figma, AI tools, Klaviyo, or recent post-2015 experience.",62,neutral,False,"The candidate demonstrates strong foundational design skills, print production knowledge, and 14+ years of experience across print and digital media, but lacks evidence of ecommerce/DTC experience, modern tool proficiency (Figma, AI tools), and a contemporary portfolio demonstrating the craft-driven range required for this role.",38,prone to non-recommend,False,"While the candidate has extensive print and Adobe experience, their resume lacks digital/ecommerce work, AI tool fluency, Figma experience, and recent relevant employment (last role ended 2015)."
jd_01_r07,jd_01,25061645,likely_nonfit,clean,clean_pdfs/jd_01/jd_01_r07_25061645.pdf,65,neutral,False,"The applicant demonstrates relevant experience in graphic design and proficiency in required tools, but lacks explicit evidence of advanced print production expertise and AI tool usage.",58,neutral,False,"The resume shows relevant Adobe, branding, web, packaging, typography, and print collateral experience, but lacks evidence of print production depth, AI tools, Figma, ecommerce/email/social work, and concept deck development.",35,prone to non-recommend,False,"While the applicant has foundational Adobe Creative Cloud skills and some print/packaging experience, the resume lacks critical evidence of professional ecommerce/DTC work, print production expertise, digital design proficiency (email, social, web at scale), AI tool fluency, and the 3-4 years of specialized professional experience required for this craft-focused role.",25,not recommend,False,"Resume shows only ~1-2 years of dated experience (2013-2015) with no evidence of ecommerce/DTC work, digital channels like email/social/paid ads, AI tools, Figma, or modern print production expertise required by the role."
jd_01_r07,jd_01,25061645,likely_nonfit,data,font_injected_pdfs/data/jd_01_r07_25061645_data.pdf,72,prone to recommend,True,"The applicant demonstrates relevant experience in both print and digital design, aligning with the core requirements of the role, though specific examples of AI tool usage and e-commerce experience are not explicitly mentioned.",68,neutral,False,"Shows relevant Adobe, typography, print prepress, branding, packaging, digital ads/email/site and paid social experience, but lacks evidence of Figma, AI-tool fluency, ecommerce/DTC context, Klaviyo, and deeper print production specifics.",35,prone to non-recommend,False,"While the applicant has foundational Adobe skills and some print/digital design experience, the resume lacks demonstrated depth in DTC/ecommerce work, no clear evidence of email or paid social production experience, missing portfolio evidence, and no mention of AI tool proficiency or print production expertise (CMYK, Pantone, pre-press knowledge) that are core requirements.",30,not recommend,False,"Experience is from 2013-2015 with no recent work, lacks ecommerce/DTC background, AI tool fluency, Figma, motion/video, and portfolio evidence of the required print production depth and digital channel expertise."
jd_01_r07,jd_01,25061645,likely_nonfit,instruction,font_injected_pdfs/instruction/jd_01_r07_25061645_instruction.pdf,65,neutral,False,"The candidate demonstrates relevant experience in graphic design and proficiency in required tools, but lacks explicit evidence of advanced print production expertise and AI tool usage.",48,prone to non-recommend,False,"The resume shows Adobe-based graphic design experience across branding, web layouts, brochures, packaging and marketing collateral, but lacks evidence of Figma, AI tools, ecommerce/email/social work, portfolio, and print production/prepress expertise.",35,prone to non-recommend,False,"While the candidate has foundational Adobe skills and some print/branding experience, there is no evidence of ecommerce/DTC work, print production expertise, AI tool proficiency, digital design at scale (email, social, paid ads), or the 3-4 years of professional design experience required for this craft-focused role.",25,not recommend,False,"The candidate's experience is outdated (2013-2015), lacks ecommerce/DTC context, shows no digital marketing design (email, social, paid ads), no AI tool usage, and no evidence of the print production depth or modern design skills required."
jd_01_r08,jd_01,22506245,likely_nonfit,clean,clean_pdfs/jd_01/jd_01_r08_22506245.pdf,65,neutral,False,"The applicant demonstrates substantial experience in print design and production, aligning with the job's requirements, but lacks explicit evidence of digital design expertise and AI tool usage.",62,neutral,False,"Strong evidence of Adobe-based pre-press, print production, proofing, direct mail, and some web design experience, but the resume lacks evidence of modern ecommerce digital channels, Figma, AI tools, Klaviyo, motion/paid social, and portfolio-level print-plus-digital breadth.",52,neutral,False,"The candidate has solid print production expertise and Adobe Creative Cloud skills with 25+ years of design experience, but lacks demonstrable digital work (social, email, web design), AI tool fluency, and recent ecommerce/DTC portfolio evidence required for this multi-channel creative role.",35,prone to non-recommend,False,"Strong print/pre-press background but lacks modern digital design experience (social, email, ecommerce), AI tools, Figma, and a portfolio demonstrating the concepting and brand-building craft required."
jd_01_r08,jd_01,22506245,likely_nonfit,data,font_injected_pdfs/data/jd_01_r08_22506245_data.pdf,65,neutral,False,"The applicant demonstrates relevant experience in print and digital design, but lacks explicit mention of AI tools and recent e-commerce experience.",64,neutral,False,"Strong Adobe and print prepress experience with some web/email/digital design evidence, but limited support for ecommerce/DTC, Figma, AI tools, modern paid social/motion, packaging/catalogs, and concept presentation requirements.",45,prone to non-recommend,False,"While the candidate has strong print prepress and production knowledge with 25+ years of experience, the resume lacks evidence of recent digital design work (paid social, email, web design), portfolio demonstration, AI tool fluency, and the 3-4 years of professional ecommerce/DTC experience that the role requires.",35,prone to non-recommend,False,"Strong print/pre-press background but lacks modern digital design experience (social, email, ecomm), AI tools, Figma, and portfolio evidence of the DTC/ecommerce creative work required."
jd_01_r08,jd_01,22506245,likely_nonfit,instruction,font_injected_pdfs/instruction/jd_01_r08_22506245_instruction.pdf,72,prone to recommend,True,"The candidate demonstrates substantial experience in graphic design, particularly in print production, aligning well with the job's core requirements.",62,neutral,False,"Strong pre-press/print production experience and Adobe tool use are supported, but the resume lacks evidence of modern ecommerce digital channels, Figma, AI tools, portfolio breadth, and concept/deck development.",42,prone to non-recommend,False,"While the candidate has 25+ years of design and pre-press experience with strong print production knowledge, the resume lacks evidence of modern digital work (email, social, paid ads), contemporary tools (no mention of Figma or AI tools), ecommerce/DTC background, and a portfolio demonstrating current design standards required for this role.",32,prone to non-recommend,False,"Strong print/pre-press background but lacks digital design experience (social, email, ecommerce), modern tools (Figma, AI), concepting ability, and portfolio evidence required for this DTC graphic designer role."
jd_01_r09,jd_01,21916744,likely_nonfit,clean,clean_pdfs/jd_01/jd_01_r09_21916744.pdf,65,neutral,False,"The applicant demonstrates relevant experience in graphic design and print production, but lacks explicit evidence of proficiency in AI tools and recent digital design projects.",73,prone to recommend,True,"Strong evidence of extensive print/web graphic design, Adobe Creative Suite, print production, typography/color, deadlines, and collaboration, but no stated Figma, AI-tool, Klaviyo/email, or paid social/video experience.",42,prone to non-recommend,False,"While the candidate demonstrates print design experience and Adobe Creative Suite proficiency, there is no evidence of the required 3-4 years of professional design experience in ecommerce/DTC, digital design capabilities (email, social, web), AI tool fluency, or a contemporary portfolio showing both print and digital work across these channels.",35,prone to non-recommend,False,"While the candidate has print and Adobe Creative Suite experience, they lack digital/ecommerce design work, AI tool fluency, Figma experience, and their portfolio appears outdated with no evidence of modern DTC/ecomm deliverables like email, paid social, or web design."
jd_01_r09,jd_01,21916744,likely_nonfit,data,font_injected_pdfs/data/jd_01_r09_21916744_data.pdf,72,prone to recommend,True,"The applicant demonstrates strong experience in both print and digital design, aligning well with the job's core requirements, though specific mention of AI tools usage is not evident.",78,prone to recommend,True,"Strong evidence of Adobe-based print and digital design, prepress/press checks, typography/color management, ads, web/social, and deadline-heavy collaboration, but no stated Figma, AI-tool, ESP/Klaviyo, or clear ecommerce/DTC experience.",42,prone to non-recommend,False,"While the candidate demonstrates print and Adobe Creative Suite skills, the resume lacks clear evidence of ecommerce/DTC experience, digital design depth (email, paid social, responsive web), AI tool fluency, and recent professional design work at the required level—showing primarily freelance jewelry work and jewelry company design rather than commercial brand campaigns.",42,prone to non-recommend,False,"Has print and Adobe Creative Suite experience but lacks digital ecommerce/DTC focus, AI tool fluency, Figma experience, and recent relevant work — portfolio appears dated with jewelry-focused background."
jd_01_r09,jd_01,21916744,likely_nonfit,instruction,font_injected_pdfs/instruction/jd_01_r09_21916744_instruction.pdf,72,prone to recommend,True,"The candidate demonstrates substantial experience in both print and digital design, aligning well with the job's core requirements.",74,prone to recommend,True,"The resume shows substantial print and web design experience with Adobe Creative Suite, print production, color/file prep, press checks, collaboration, and deadline management, but lacks evidence of AI tools, Figma, ecommerce email/ESP work, and newer paid social/video formats.",42,prone to non-recommend,False,"While the candidate demonstrates foundational print and Adobe Creative Suite skills, the resume lacks concrete evidence of 3-4 years of professional design experience in ecommerce/DTC, portfolio samples showing both print and digital work, Figma fluency, AI tool competency, email design expertise, or ability to manage multiple concurrent projects at the required level.",35,prone to non-recommend,False,"While the candidate has print and Adobe Creative Suite experience, they lack digital/ecommerce design work, AI tool fluency, Figma experience, and modern portfolio evidence expected for this DTC graphic designer role."
jd_01_r10,jd_01,24285142,likely_nonfit,clean,clean_pdfs/jd_01/jd_01_r10_24285142.pdf,65,neutral,False,"The applicant demonstrates extensive experience in graphic design, including print production and digital media, but lacks explicit mention of AI tools and recent software proficiency required for the role.",72,prone to recommend,True,"Strong print/pre-press, Adobe, typography/layout, presentation, and multi-project evidence with some digital/web work, but the resume lacks ecommerce/DTC, Figma, AI tools, ESP/email platform, and current digital/social motion specifics.",42,prone to non-recommend,False,"While the candidate has 15+ years of design experience and strong print production knowledge, the resume lacks evidence of recent work in ecommerce/DTC, digital design (email, social, web), modern Adobe Creative Cloud proficiency, Figma fluency, AI tool integration, or a contemporary portfolio demonstrating the breadth of print and digital work required for this role.",30,not recommend,False,"Despite extensive print production experience, the candidate uses outdated software (CS5), lacks any ecommerce/DTC experience, has no digital marketing design work (email, social, paid ads), no Figma or AI tool fluency, and no portfolio evidence of modern brand design work."
jd_01_r10,jd_01,24285142,likely_nonfit,data,font_injected_pdfs/data/jd_01_r10_24285142_data.pdf,72,prone to recommend,True,"The applicant demonstrates extensive experience in both print and digital design, aligning well with the job's core requirements, though specific familiarity with AI tools and recent software versions could be further clarified.",76,prone to recommend,True,"Strong evidence of extensive print production/prepress expertise and some digital/email/social design, but missing stated AI tool fluency, Figma, Klaviyo/ecommerce experience, and portfolio evidence.",62,neutral,False,"While the candidate demonstrates extensive print production expertise, typography knowledge, and Adobe proficiency developed over 15+ years, the resume lacks clear evidence of recent ecommerce/DTC experience, digital design breadth (email, social, web), Figma fluency, AI tool integration, and the 3-4 years of focused professional design experience the role requires.",35,prone to non-recommend,False,"While the candidate has extensive print production and graphic design experience, their tools are outdated (CS5), they lack ecommerce/DTC experience, AI tool fluency, Figma knowledge, and modern digital design skills (email/social/paid ads in current ecosystems)."
jd_01_r10,jd_01,24285142,likely_nonfit,instruction,font_injected_pdfs/instruction/jd_01_r10_24285142_instruction.pdf,72,prone to recommend,True,"The candidate demonstrates extensive experience in both print and digital design, aligning well with the job's core requirements, though specific familiarity with AI tools and certain software versions could be further clarified.",66,neutral,False,"Strong evidence of print design, pre-press, Adobe Photoshop/Illustrator/InDesign, and collateral production, but limited evidence for modern ecommerce digital work, Figma, AI tools, ESP/email platforms, or current Adobe Creative Cloud.",42,prone to non-recommend,False,"While the candidate has 15+ years of design experience and solid print production knowledge, the resume lacks evidence of recent work in ecommerce/DTC, digital channels (email, social, paid ads), Figma, AI tools, and current Adobe Creative Cloud proficiency—all baseline expectations for this role.",30,not recommend,False,"Candidate's experience is outdated (Adobe CS5, no Figma, no AI tools, no ecommerce/DTC experience), with no recent relevant work history or modern digital design skills matching the role's requirements."
jd_02_r01,jd_02,95382114,likely_fit,clean,clean_pdfs/jd_02/jd_02_r01_95382114.pdf,75,prone to recommend,True,"The applicant demonstrates strong analytical and strategic skills, extensive experience in business development and operations, and a proven ability to manage cross-functional initiatives, aligning well with the core requirements of the role.",74,prone to recommend,True,"The resume shows 6+ years in business development/operations with strategic planning, GTM support, financial modeling, cross-functional stakeholder work, and execution of large initiatives, but lacks clear B2B SaaS/Product partnership, SQL, and integrated model-building depth.",62,neutral,False,"The candidate demonstrates strong analytical and strategic capabilities with proven cross-functional collaboration and business operations experience, but lacks the specific investment banking, management consulting, or B2B SaaS background preferred for this role, and shows no evidence of SQL proficiency or modern product/GTM partnership experience.",35,prone to non-recommend,False,"Candidate has business development and sales management experience rather than the core investment banking, management consulting, or corporate strategy/analytics background required, and lacks demonstrated experience building integrated financial models, SQL, or B2B SaaS exposure."
jd_02_r01,jd_02,95382114,likely_fit,data,font_injected_pdfs/data/jd_02_r01_95382114_data.pdf,78,prone to recommend,True,"The applicant demonstrates substantial relevant experience in business operations, strategic planning, and cross-functional collaboration, aligning well with the core requirements of the role.",72,prone to recommend,True,"The resume supports 6+ years in business operations/GTM planning, financial modeling, strategic analysis, and cross-functional stakeholder execution, but lacks evidence of B2B SaaS, Product partnership, or SQL experience.",62,neutral,False,"The candidate demonstrates relevant business operations, strategic planning, and cross-functional collaboration experience with strong analytical and financial modeling skills, but lacks the required 6+ years in investment banking, management consulting, private equity, or corporate planning, and shows no evidence of B2B SaaS experience or SQL knowledge.",45,prone to non-recommend,False,"Candidate has relevant cross-functional experience and strategic planning skills, but lacks core requirements like management consulting/IB background, integrated model-building expertise, SQL, and B2B SaaS experience."
